,Total_f1,w_1,w_2,w_3,1_f1,2_f1,3_f1
278,0.78,0.2,3.0,1.5,0.34,0.4,0.04
279,0.8,0.2,3.0,2.0,0.34,0.39,0.07
280,0.7999999999999999,0.2,3.0,2.5,0.3,0.4,0.1
281,0.8200000000000001,0.2,3.0,3.0,0.28,0.39,0.15
282,0.8200000000000001,0.2,3.0,3.5,0.26,0.39,0.17
283,0.8200000000000001,0.2,3.0,4.0,0.26,0.39,0.17
284,0.81,0.2,3.0,4.5,0.25,0.39,0.17
285,0.81,0.2,3.0,5.0,0.25,0.38,0.18
286,0.8,0.2,3.0,5.5,0.24,0.37,0.19
287,0.77,0.2,3.0,6.0,0.22,0.36,0.19
288,0.75,0.3,0.25,0.5,0.74,0.0,0.01
289,0.8,0.3,0.25,1.0,0.73,0.0,0.07
290,0.8099999999999999,0.3,0.25,1.5,0.72,0.0,0.09
291,0.85,0.3,0.25,2.0,0.7,0.0,0.15
292,0.8899999999999999,0.3,0.25,2.5,0.7,0.0,0.19
293,0.8700000000000001,0.3,0.25,3.0,0.68,0.0,0.19
294,0.8600000000000001,0.3,0.25,3.5,0.66,0.0,0.2
295,0.8500000000000001,0.3,0.25,4.0,0.65,0.0,0.2
296,0.86,0.3,0.25,4.5,0.64,0.0,0.22
297,0.82,0.3,0.25,5.0,0.61,0.0,0.21
298,0.8,0.3,0.25,5.5,0.6,0.0,0.2
299,0.8099999999999999,0.3,0.25,6.0,0.59,0.0,0.22
300,0.79,0.3,0.5,0.5,0.73,0.05,0.01
301,0.85,0.3,0.5,1.0,0.73,0.08,0.04
302,0.85,0.3,0.5,1.5,0.71,0.05,0.09
303,0.9,0.3,0.5,2.0,0.7,0.05,0.15
304,0.9,0.3,0.5,2.5,0.69,0.04,0.17
305,0.9000000000000001,0.3,0.5,3.0,0.68,0.04,0.18
306,0.9000000000000001,0.3,0.5,3.5,0.65,0.05,0.2
307,0.8400000000000001,0.3,0.5,4.0,0.63,0.03,0.18
308,0.8600000000000001,0.3,0.5,4.5,0.62,0.04,0.2
309,0.86,0.3,0.5,5.0,0.61,0.03,0.22
310,0.86,0.3,0.5,5.5,0.6,0.03,0.23
311,0.83,0.3,0.5,6.0,0.58,0.03,0.22
312,0.87,0.3,0.75,0.5,0.71,0.16,0.0
313,0.9299999999999999,0.3,0.75,1.0,0.71,0.16,0.06
314,0.9199999999999999,0.3,0.75,1.5,0.69,0.15,0.08
315,0.9700000000000001,0.3,0.75,2.0,0.68,0.14,0.15
316,0.9700000000000001,0.3,0.75,2.5,0.67,0.13,0.17
317,0.98,0.3,0.75,3.0,0.66,0.14,0.18
318,0.9299999999999999,0.3,0.75,3.5,0.64,0.1,0.19
319,0.9199999999999999,0.3,0.75,4.0,0.61,0.11,0.2
320,0.9299999999999999,0.3,0.75,4.5,0.62,0.1,0.21
321,0.94,0.3,0.75,5.0,0.6,0.13,0.21
322,0.8699999999999999,0.3,0.75,5.5,0.58,0.09,0.2
323,0.8799999999999999,0.3,0.75,6.0,0.57,0.1,0.21
324,0.9199999999999999,0.3,1.0,0.5,0.69,0.23,0.0
325,0.9500000000000001,0.3,1.0,1.0,0.68,0.23,0.04
326,0.98,0.3,1.0,1.5,0.67,0.23,0.08
327,1.02,0.3,1.0,2.0,0.67,0.23,0.12
328,1.03,0.3,1.0,2.5,0.65,0.23,0.15
329,1.02,0.3,1.0,3.0,0.64,0.2,0.18
330,1.01,0.3,1.0,3.5,0.62,0.2,0.19
331,0.99,0.3,1.0,4.0,0.6,0.19,0.2
332,0.95,0.3,1.0,4.5,0.58,0.17,0.2
333,0.99,0.3,1.0,5.0,0.59,0.19,0.21
334,0.98,0.3,1.0,5.5,0.56,0.2,0.22
335,0.92,0.3,1.0,6.0,0.54,0.15,0.23
336,0.9400000000000001,0.3,1.25,0.5,0.67,0.27,0.0
337,0.98,0.3,1.25,1.0,0.66,0.29,0.03
338,1.0,0.3,1.25,1.5,0.64,0.28,0.08
339,1.02,0.3,1.25,2.0,0.63,0.28,0.11
340,1.03,0.3,1.25,2.5,0.62,0.26,0.15
341,1.04,0.3,1.25,3.0,0.61,0.26,0.17
342,1.02,0.3,1.25,3.5,0.58,0.25,0.19
343,1.03,0.3,1.25,4.0,0.57,0.26,0.2
344,0.97,0.3,1.25,4.5,0.55,0.23,0.19
345,1.02,0.3,1.25,5.0,0.55,0.26,0.21
346,0.99,0.3,1.25,5.5,0.53,0.25,0.21
347,0.99,0.3,1.25,6.0,0.53,0.23,0.23
348,0.9199999999999999,0.3,1.5,0.5,0.63,0.29,0.0
349,1.0,0.3,1.5,1.0,0.64,0.32,0.04
350,1.0,0.3,1.5,1.5,0.61,0.32,0.07
351,1.03,0.3,1.5,2.0,0.61,0.32,0.1
352,0.9899999999999999,0.3,1.5,2.5,0.58,0.29,0.12
353,1.02,0.3,1.5,3.0,0.56,0.3,0.16
354,1.05,0.3,1.5,3.5,0.56,0.3,0.19
355,1.04,0.3,1.5,4.0,0.55,0.29,0.2
356,1.01,0.3,1.5,4.5,0.53,0.28,0.2
357,0.97,0.3,1.5,5.0,0.5,0.26,0.21
358,0.99,0.3,1.5,5.5,0.5,0.28,0.21
359,0.96,0.3,1.5,6.0,0.49,0.26,0.21
360,0.95,0.3,1.75,0.5,0.61,0.33,0.01
361,0.96,0.3,1.75,1.0,0.6,0.33,0.03
362,0.96,0.3,1.75,1.5,0.59,0.33,0.04
363,0.9700000000000001,0.3,1.75,2.0,0.56,0.32,0.09
364,0.9800000000000001,0.3,1.75,2.5,0.55,0.31,0.12
365,0.9800000000000001,0.3,1.75,3.0,0.53,0.31,0.14
366,0.9800000000000001,0.3,1.75,3.5,0.52,0.31,0.15
367,1.04,0.3,1.75,4.0,0.52,0.33,0.19
368,1.0,0.3,1.75,4.5,0.5,0.31,0.19
369,1.01,0.3,1.75,5.0,0.5,0.31,0.2
370,1.0,0.3,1.75,5.5,0.48,0.3,0.22
371,0.97,0.3,1.75,6.0,0.46,0.3,0.21
372,0.95,0.3,2.0,0.5,0.59,0.35,0.01
373,0.94,0.3,2.0,1.0,0.57,0.35,0.02
374,0.9500000000000001,0.3,2.0,1.5,0.56,0.36,0.03
375,0.96,0.3,2.0,2.0,0.54,0.35,0.07
376,0.9900000000000001,0.3,2.0,2.5,0.53,0.34,0.12
377,1.03,0.3,2.0,3.0,0.53,0.34,0.16
378,1.01,0.3,2.0,3.5,0.5,0.35,0.16
379,0.99,0.3,2.0,4.0,0.48,0.33,0.18
380,1.0,0.3,2.0,4.5,0.48,0.33,0.19
381,1.0,0.3,2.0,5.0,0.46,0.34,0.2
382,0.98,0.3,2.0,5.5,0.45,0.33,0.2
383,0.96,0.3,2.0,6.0,0.42,0.32,0.22
384,0.92,0.3,2.25,0.5,0.56,0.36,0.0
385,0.93,0.3,2.25,1.0,0.55,0.36,0.02
386,0.9500000000000001,0.3,2.25,1.5,0.54,0.37,0.04
387,0.96,0.3,2.25,2.0,0.52,0.36,0.08
388,0.99,0.3,2.25,2.5,0.52,0.37,0.1
389,0.97,0.3,2.25,3.0,0.48,0.36,0.13
390,0.9500000000000001,0.3,2.25,3.5,0.47,0.34,0.14
391,0.9700000000000001,0.3,2.25,4.0,0.45,0.35,0.17
392,0.98,0.3,2.25,4.5,0.45,0.34,0.19
393,0.96,0.3,2.25,5.0,0.45,0.32,0.19
394,0.97,0.3,2.25,5.5,0.42,0.35,0.2
395,0.95,0.3,2.25,6.0,0.42,0.33,0.2
396,0.91,0.3,2.5,0.5,0.54,0.37,0.0
397,0.9,0.3,2.5,1.0,0.53,0.36,0.01
398,0.9,0.3,2.5,1.5,0.5,0.37,0.03
399,0.96,0.3,2.5,2.0,0.5,0.37,0.09
400,1.0,0.3,2.5,2.5,0.49,0.38,0.13
401,0.91,0.3,2.5,3.0,0.45,0.35,0.11
402,0.9700000000000001,0.3,2.5,3.5,0.46,0.36,0.15
403,0.9400000000000001,0.3,2.5,4.0,0.44,0.35,0.15
404,0.94,0.3,2.5,4.5,0.42,0.34,0.18
405,0.9299999999999999,0.3,2.5,5.0,0.4,0.35,0.18
406,0.9099999999999999,0.3,2.5,5.5,0.39,0.34,0.18
407,0.9199999999999999,0.3,2.5,6.0,0.38,0.34,0.2
408,0.89,0.3,2.75,0.5,0.52,0.37,0.0
409,0.89,0.3,2.75,1.0,0.51,0.38,0.0
410,0.91,0.3,2.75,1.5,0.49,0.39,0.03
411,0.9299999999999999,0.3,2.75,2.0,0.48,0.38,0.07
412,0.96,0.3,2.75,2.5,0.47,0.37,0.12
413,0.93,0.3,2.75,3.0,0.44,0.38,0.11
414,0.91,0.3,2.75,3.5,0.43,0.37,0.11
415,0.9400000000000001,0.3,2.75,4.0,0.43,0.36,0.15
416,0.92,0.3,2.75,4.5,0.4,0.37,0.15
417,0.9299999999999999,0.3,2.75,5.0,0.39,0.36,0.18
418,0.9099999999999999,0.3,2.75,5.5,0.38,0.34,0.19
419,0.8899999999999999,0.3,2.75,6.0,0.36,0.34,0.19
420,0.86,0.3,3.0,0.5,0.49,0.37,0.0
421,0.85,0.3,3.0,1.0,0.47,0.37,0.01
422,0.8900000000000001,0.3,3.0,1.5,0.46,0.39,0.04
423,0.9200000000000002,0.3,3.0,2.0,0.46,0.39,0.07
424,0.93,0.3,3.0,2.5,0.44,0.39,0.1
425,0.91,0.3,3.0,3.0,0.43,0.38,0.1
426,0.88,0.3,3.0,3.5,0.4,0.36,0.12
427,0.91,0.3,3.0,4.0,0.39,0.37,0.15
428,0.9,0.3,3.0,4.5,0.37,0.37,0.16
429,0.9299999999999999,0.3,3.0,5.0,0.38,0.37,0.18
430,0.9,0.3,3.0,5.5,0.36,0.37,0.17
431,0.8799999999999999,0.3,3.0,6.0,0.35,0.35,0.18
432,0.75,0.4,0.25,0.5,0.74,0.0,0.01
433,0.75,0.4,0.25,1.0,0.74,0.0,0.01
434,0.8,0.4,0.25,1.5,0.73,0.0,0.07
435,0.85,0.4,0.25,2.0,0.72,0.0,0.13
436,0.84,0.4,0.25,2.5,0.71,0.0,0.13
437,0.85,0.4,0.25,3.0,0.7,0.0,0.15
438,0.85,0.4,0.25,3.5,0.69,0.0,0.16
